# ImageSize pixel, KomaXNo, KomaYNo,designed by an artist,on date
                 800,          33,          33, NagataAsano33Diamond,   050907
# KoMaArray Type in 10digit
#V-H00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 
 00-, 02,01,06,03,04,01,06,01,07,04,03,04,01,07,04,01,06,01,07,04,01,07,04,01,07,04,02,01,07,04,01,07,04,
 01-, 11,05,15,12,03,04,11,07,14,03,12,01,07,14,03,04,11,05,14,01,06,10,03,07,14,01,13,06,11,05,04,10,02,
 02-, 08,02,10,02,11,04,10,08,08,11,06,03,12,08,10,02,11,04,09,07,15,12,10,10,10,01,05,14,11,05,05,15,12,
 03-, 02,10,10,10,09,05,15,05,07,12,09,15,06,03,13,13,15,07,06,10,09,04,08,10,08,01,07,12,11,05,04,09,06,
 04-, 11,13,13,13,06,02,10,01,14,02,03,12,09,14,02,01,14,08,10,10,02,02,02,10,01,07,12,03,12,03,07,06,08,
 05-, 08,03,07,06,09,13,12,03,12,09,13,04,01,12,09,05,12,01,14,09,15,12,11,14,03,13,04,11,04,10,08,08,02,
 06-, 01,14,10,11,06,02,01,15,04,02,02,03,05,04,03,04,02,03,14,03,13,05,12,09,15,06,02,09,05,15,05,07,12,
 07-, 02,08,08,08,11,14,03,13,04,10,10,11,05,04,09,06,11,12,08,10,03,04,01,07,12,11,15,06,02,10,01,14,02,
 08-, 11,07,05,04,08,09,15,06,03,13,13,15,07,07,05,13,15,07,04,11,15,04,01,13,06,08,08,09,13,14,01,13,14,
 09-, 08,11,05,05,05,07,12,11,14,01,05,14,10,10,02,03,14,09,06,08,09,04,02,02,11,05,04,03,04,09,07,06,08,
 10-, 02,09,05,04,01,13,06,08,08,01,05,12,08,08,11,12,08,01,12,01,07,04,10,10,11,05,04,11,06,03,12,09,06,
 11-, 11,05,06,02,01,06,10,02,02,02,02,03,04,01,15,04,01,06,02,03,15,06,09,13,15,07,06,08,09,15,06,02,08,
 12-, 08,03,15,12,01,15,14,09,15,12,11,15,04,03,15,07,07,15,12,10,08,08,01,05,14,10,10,02,03,12,09,14,02,
 13-, 02,08,11,05,05,12,09,05,13,04,08,09,05,12,08,08,10,09,04,09,06,02,01,05,14,08,08,09,13,06,01,13,14,
 14-, 11,07,12,03,05,07,07,04,02,03,06,01,06,02,03,06,11,07,06,01,15,15,07,04,10,03,06,03,04,11,05,06,08,
 15-, 08,10,02,11,04,08,09,06,11,12,08,03,15,12,11,14,11,13,12,01,14,08,09,06,11,12,08,10,02,11,04,08,02,
 16-, 03,13,13,15,07,06,01,13,15,07,04,08,11,05,13,13,15,07,07,05,14,02,01,13,15,07,04,09,13,15,07,07,12,
 17-, 08,02,01,14,08,10,02,03,14,09,06,02,11,04,03,07,14,11,14,03,15,12,02,03,14,09,06,02,01,14,08,10,02,
 18-, 02,09,05,14,01,12,09,12,10,01,13,15,15,04,09,13,14,09,12,08,09,04,09,12,08,01,13,13,05,12,03,13,14,
 19-, 11,07,04,09,07,06,02,02,11,05,04,08,09,06,01,06,10,02,02,03,05,06,02,01,07,05,06,03,05,05,14,02,08,
 20-, 08,11,06,03,12,08,10,10,11,05,04,02,02,10,03,15,13,13,15,12,01,15,14,03,15,06,11,15,04,03,15,12,02,
 21-, 02,08,09,15,06,02,09,13,15,07,06,09,15,12,08,09,04,01,15,04,01,12,08,08,08,08,10,09,04,08,09,05,14,
 22-, 09,06,03,12,09,14,01,05,14,10,10,01,13,04,03,04,02,03,14,02,02,03,05,04,02,02,09,07,04,01,05,06,08,
 23-, 02,09,13,06,01,12,01,05,14,08,08,01,06,02,09,06,11,12,08,10,10,11,05,04,11,14,03,13,05,05,05,14,02,
 24-, 11,07,04,11,07,06,02,02,09,07,04,01,15,14,01,13,15,07,05,13,13,15,07,07,12,09,15,06,02,01,05,13,14,
 25-, 08,11,04,10,08,09,15,14,03,13,04,01,12,10,02,03,14,09,06,01,05,14,10,10,01,07,12,11,14,02,02,02,08,
 26-, 03,13,05,15,05,06,08,09,15,06,03,05,07,12,11,12,08,01,12,01,05,12,08,08,01,15,04,08,09,14,10,11,04,
 27-, 08,02,02,10,01,14,01,07,12,11,14,03,15,06,11,04,03,05,06,03,04,01,07,06,03,12,03,07,06,09,13,12,02,
 28-, 02,09,13,12,03,12,03,13,04,10,08,08,08,10,10,02,11,04,08,11,06,03,12,08,11,04,10,08,09,07,07,07,14,
 29-, 09,06,01,05,14,03,13,04,02,10,02,01,06,10,09,13,15,07,07,12,09,15,06,03,13,05,15,05,06,10,10,10,08,
 30-, 03,15,05,05,14,11,05,04,10,10,10,03,15,13,06,01,14,08,10,02,03,12,09,14,02,02,10,01,14,08,10,08,02,
 31-, 08,10,01,05,14,09,07,04,11,13,12,10,09,04,11,05,14,01,12,11,13,04,03,12,11,13,14,01,12,03,15,05,14,
 32-, 01,13,04,01,13,04,08,01,13,04,01,13,04,01,13,04,09,04,01,13,04,01,12,01,13,04,09,04,01,12,09,04,08,
#
